敵編成ID,敵艦隊名,海域,海域,セル,難易度,陣形,艦娘経験値,ID#01,ID#02,ID#03,ID#04,ID#05,ID#06,ID#07,ID#08,ID#09,ID#10,ID#11,ID#12,艦名#01,艦名#02,艦名#03,艦名#04,艦名#05,艦名#06,艦名#07,艦名#08,艦名#09,艦名#10,艦名#11,艦名#12,Lv#01,Lv#02,Lv#03,Lv#04,Lv#05,Lv#06,Lv#07,Lv#08,Lv#09,Lv#10,Lv#11,Lv#12
94c8fccd4ce19c28,"敵前衛艦隊",1,2,1,なし,単縦陣,40,1502,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"駆逐ロ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6d2effdfc7b0b474,"敵前衛艦隊",1,2,1,なし,単縦陣,45,1505,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03942aaae84878dc,"敵前衛艦隊",1,2,1,なし,単縦陣,55,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ab07f0bef740c509,"敵前衛艦隊",1,2,1,なし,単縦陣,65,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243761eb68e9fe9c,"敵前衛艦隊",1,2,3,なし,単縦陣,30,1502,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"駆逐ロ級","駆逐イ級","-","-","-","-","-","-","-","-","-","-",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9e56c9866b09fc66,"敵前衛艦隊",1,2,3,なし,単縦陣,40,1502,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"駆逐ロ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1763b9f2ec67b982,"敵前衛艦隊",1,2,3,なし,単縦陣,45,1505,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
615c34da2ee45aca,"敵前衛艦隊",1,2,3,なし,単縦陣,55,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a30fa72e80e85315,"敵前衛艦隊",1,2,3,なし,単縦陣,65,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20f6a312f148137a,"敵水雷戦隊",1,2,4,なし,単縦陣,70,1505,1502,1502,1501,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ロ級","駆逐ロ級","駆逐イ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
671b19ac313f6ac9,"敵水雷戦隊",1,2,4,なし,単縦陣,65,1505,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
8293cee6eeac555b,"敵水雷戦隊",1,2,4,なし,単縦陣,80,1506,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
b99e9f6eabb9f73e,"敵主力艦隊",1,2,5,なし,単縦陣,60,1505,1501,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐イ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
13945b0135f596be,"敵主力艦隊",1,2,5,なし,単縦陣,70,1506,1501,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
eafa24e60cc9c192,"敵主力艦隊",1,2,5,なし,単縦陣,100,1506,1505,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ホ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
b3abfa90930b4a13,"敵主力艦隊",1,2,5,なし,単縦陣,110,1506,1505,1508,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ホ級","雷巡チ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
be73858637ca4fa0,"敵主力艦隊",1,2,5,なし,単縦陣,120,1506,1508,1508,1503,1503,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","雷巡チ級","雷巡チ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
3a6f0ae1a6b8eacf,"敵主力艦隊",1,2,6,なし,単縦陣,100,1506,1505,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ホ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
a7371902552bbff8,"敵主力艦隊",1,2,6,なし,単縦陣,100,1506,1505,1508,1501,1501,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ホ級","雷巡チ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
168051649d76817b,"敵主力艦隊",1,2,6,なし,単縦陣,120,1506,1508,1508,1503,1503,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","雷巡チ級","雷巡チ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
ec225b916302894b,"敵前衛艦隊",1,3,3,なし,単縦陣,50,1505,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71bbbd5575b1f3f9,"敵前衛艦隊",1,3,3,なし,単縦陣,60,1505,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
deac66a29741382e,"敵前衛艦隊",1,3,3,なし,単縦陣,70,1505,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1d41c0fae8c437ea,"敵前衛艦隊",1,3,3,なし,単縦陣,70,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1719183ba8cfcfe9,"敵前衛艦隊",1,3,3,なし,単縦陣,90,1506,1503,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ハ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
5a32b34c7a1a4279,"敵前衛艦隊",1,3,3,なし,単縦陣,80,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88e16afd6faabfef,"敵前衛艦隊",1,3,5,なし,単縦陣,60,1505,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f26888f3d88d3984,"敵前衛艦隊",1,3,5,なし,単縦陣,70,1505,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36386dbafe5a3e7b,"敵前衛艦隊",1,3,5,なし,単縦陣,70,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
056b40201bafedde,"敵前衛艦隊",1,3,5,なし,単縦陣,80,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a799430564a06eb3,"敵支援艦隊",1,3,6,なし,単縦陣,65,1509,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
f3749568e931dfda,"敵支援艦隊",1,3,6,なし,複縦陣,65,1509,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
6214eded921204e2,"敵支援艦隊",1,3,6,なし,単縦陣,90,1509,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
9b35c4e467435e05,"敵支援艦隊",1,3,6,なし,複縦陣,90,1509,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
44911e98c64ab5ed,"敵支援艦隊",1,3,6,なし,単縦陣,100,1509,1508,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","雷巡チ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
a1c96ce8cf82b23b,"敵支援艦隊",1,3,6,なし,複縦陣,100,1509,1508,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","雷巡チ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
514803a852a212bd,"敵支援艦隊",1,3,6,なし,複縦陣,110,1509,1509,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","重巡リ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
16ee05ee8da5193e,"敵主力艦隊",1,3,10,なし,複縦陣,130,1511,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
4753f4d69d8ee493,"敵主力艦隊",1,3,10,なし,単縦陣,140,1511,1508,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
abe31f47fc4cb39b,"敵主力艦隊",1,3,10,なし,複縦陣,140,1511,1508,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
77307439e571682c,"敵主力艦隊",1,3,10,なし,単縦陣,150,1511,1508,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
44010b482d957412,"敵主力艦隊",1,3,10,なし,複縦陣,150,1511,1508,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
de6cab5b9e1cf524,"敵前衛艦隊",1,3,11,なし,単縦陣,50,1505,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ホ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38a6b502dacb16ae,"敵前衛艦隊",1,3,11,なし,単縦陣,90,1506,1503,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ハ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
4bd24aaa6784f7f7,"敵前衛艦隊",1,3,11,なし,単縦陣,80,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-","-",1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33a9ceab87a7f118,"敵支援艦隊",1,3,12,なし,単縦陣,65,1509,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
565eca9d63428251,"敵支援艦隊",1,3,12,なし,単縦陣,90,1509,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
dc16942ad347e01d,"敵支援艦隊",1,3,12,なし,複縦陣,90,1509,1502,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","駆逐ロ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
85dcbb1cc309978d,"敵支援艦隊",1,3,12,なし,単縦陣,100,1509,1508,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","雷巡チ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
44589cc885631342,"敵支援艦隊",1,3,12,なし,複縦陣,100,1509,1508,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","雷巡チ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
4db82155426377d7,"敵支援艦隊",1,3,12,なし,複縦陣,110,1509,1509,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","重巡リ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
d7a0ed9582ffccbd,"敵主力艦隊",1,3,13,なし,単縦陣,130,1511,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
075f5a601c4ebe13,"敵主力艦隊",1,3,13,なし,単縦陣,140,1511,1508,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
fca8354c2b601127,"敵主力艦隊",1,3,13,なし,複縦陣,140,1511,1508,1506,1501,1501,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
2328678f42198c07,"敵主力艦隊",1,3,13,なし,複縦陣,150,1511,1508,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
18a91002adfb0fe5,"敵偵察艦隊",1,4,2,なし,単縦陣,90,1506,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
3be0b2243d06c965,"敵偵察艦隊",1,4,2,なし,複縦陣,90,1506,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
830c583fbbd69617,"敵偵察艦隊",1,4,2,なし,単縦陣,90,1509,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
a72da8ea1c37c125,"敵偵察艦隊",1,4,2,なし,複縦陣,90,1509,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
211e4c3937eb9bab,"敵偵察艦隊",1,4,2,なし,単縦陣,90,1509,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
688cc5e57363debe,"敵偵察艦隊",1,4,2,なし,複縦陣,90,1509,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
99aa074c0e625546,"敵偵察艦隊",1,4,4,なし,単縦陣,90,1506,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
d5893f78cf01bfbe,"敵偵察艦隊",1,4,4,なし,複縦陣,90,1506,1506,1503,1503,-1,-1,-1,-1,-1,-1,-1,-1,"軽巡ヘ級","軽巡ヘ級","駆逐ハ級","駆逐ハ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
e1e50640b6d79177,"敵偵察艦隊",1,4,4,なし,単縦陣,90,1509,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
37bf2ad88c9fc9b0,"敵偵察艦隊",1,4,4,なし,複縦陣,90,1509,1506,1501,1501,1501,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐イ級","駆逐イ級","駆逐イ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
888f819a1bcfb56b,"敵偵察艦隊",1,4,4,なし,単縦陣,90,1509,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
33c6c168d0348e76,"敵偵察艦隊",1,4,4,なし,複縦陣,90,1509,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,-1,"重巡リ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-","-",1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
530d5721f34ce2ab,"敵前衛任務部隊 I群",1,4,8,なし,輪形陣,110,1510,1510,1506,1502,1502,-1,-1,-1,-1,-1,-1,-1,"軽母ヌ級","軽母ヌ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-","-",1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
86f73b5b9a9a015d,"敵前衛任務部隊 I群",1,4,8,なし,輪形陣,130,1510,1510,1509,1506,1502,1502,-1,-1,-1,-1,-1,-1,"軽母ヌ級","軽母ヌ級","重巡リ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
f83127f021a6f65d,"敵支援打撃任務群",1,4,10,なし,単縦陣,120,1511,1508,1508,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","雷巡チ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
97008c51a31ca5d0,"敵支援打撃任務群",1,4,10,なし,複縦陣,120,1511,1508,1508,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","雷巡チ級","雷巡チ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
1b40a87a5ebe9624,"敵支援打撃任務群",1,4,10,なし,単縦陣,130,1511,1510,1506,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽母ヌ級","軽巡ヘ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
eb08006a4dd91be8,"敵支援打撃任務群",1,4,10,なし,複縦陣,120,1511,1510,1506,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽母ヌ級","軽巡ヘ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
bc2a8c36de542a1b,"敵支援打撃任務群",1,4,10,なし,単縦陣,140,1511,1510,1510,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽母ヌ級","軽母ヌ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
9829ad1d47a54566,"敵支援打撃任務群",1,4,10,なし,複縦陣,140,1511,1510,1510,1506,1502,1502,-1,-1,-1,-1,-1,-1,"戦艦ル級","軽母ヌ級","軽母ヌ級","軽巡ヘ級","駆逐ロ級","駆逐ロ級","-","-","-","-","-","-",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
